publication,title,doi,n,nDyads,propFem,ageMean,ageSD,area,task,contrasts,method,space,x,y,z,stat,statType,location,comments
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,14.11,-4.32,20.87,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-46.21,7.92,28.52,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-27.45,-8.97,55.91,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-50.64,-23.81,41.36,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-25.38,-54.66,64.11,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-35.84,-39.3,47.48,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-31.69,-87.07,12.52,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-17.02,-50.85,0.7,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-25.91,-63.22,-12.24,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-16.53,-84.95,33.1,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-48.18,-67.21,1,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-35.97,-84.07,-3.95,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-8.88,-70.61,-1.75,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-10.61,-98.15,7.68,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-14.58,-83.96,-12.99,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-22.18,-96.74,-10.03,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-5.73,-81.33,12.16,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-22.08,-66.7,7.45,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-21.52,-36.99,5.77,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,-32.13,-40.14,-3.96,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-dependent dyad-ISC during JA > random-ISC,wb-VW,MNI,52,-38,6,5.47,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-dependent dyad-ISC during JA > random-ISC,wb-VW,MNI,58,-24,4,3.51,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-dependent dyad-ISC during JA > random-ISC,wb-VW,MNI,46,-56,4,4.28,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-dependent dyad-ISC during JA > random-ISC,wb-VW,MNI,50,-60,-4,3.53,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-dependent dyad-ISC during JA > random-ISC,wb-VW,MNI,38,-58,4,3.35,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-dependent dyad-ISC during JA > random-ISC,wb-VW,MNI,34,24,-8,3.96,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-dependent dyad-ISC during JA > random-ISC,wb-VW,MNI,48,22,-4,3.87,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-dependent dyad-ISC during JA > random-ISC,wb-VW,MNI,16,-78,40,3.93,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-dependent dyad-ISC during JA > random-ISC,wb-VW,MNI,18,-80,48,3.22,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-independent dyad-ISC during JA > random-ISC,wb-VW,MNI,54,-43,29,5.16,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-independent dyad-ISC during JA > random-ISC,wb-VW,MNI,48,20,5,4.39,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-independent dyad-ISC during JA > random-ISC,wb-VW,MNI,39,20,-1,4.29,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-independent dyad-ISC during JA > random-ISC,wb-VW,MNI,30,14,-13,3.82,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-independent dyad-ISC during JA > random-ISC,wb-VW,MNI,9,26,59,4.3,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-independent dyad-ISC during JA > random-ISC,wb-VW,MNI,6,26,50,4.27,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-independent dyad-ISC during JA > random-ISC,wb-VW,MNI,6,41,35,3.81,T,Table S1/2,none
Yoshioka 2021,Neural substrates of shared visual experiences: A hyperscanning fMRI study,10.1093/scan/nsab082 ,44,22,0.55,21.27,2.38,joint attention,direct partners att.,task-independent dyad-ISC during JA > random-ISC,wb-VW,MNI,9,59,29,3.69,T,Table S1/2,none
